report_number,categories,primary_category,confidence,ai_specific
3004977335-2022-38475,"D,G",D,high,False
3004977335-2022-31782,"E,F",E,high,False
3004977335-2022-42132,"D,E,G",D,high,False
3015777306-2022-00006,F,F,high,False
15347599,"B,G",B,medium,False
3004977335-2022-43257,"F,G",F,high,False
3004977335-2022-43365,"E,G",E,medium,False
3004977335-2022-42540,D,D,high,False
3004977335-2022-42881,F,F,high,False
15401390,D,D,high,False
3004977335-2022-40734,"D,G",D,high,False
3004977335-2022-40657,"C,D",C,high,True
3004977335-2022-42061,"F,G",F,high,False
3004977335-2022-44856,"D,G",D,high,False
15498699,"D,G",D,medium,False
9613445-2022-00006,"D,G",D,high,False
9613445-2022-00007,"D,G",D,high,False
15592596,E,E,high,False
3004977335-2022-48000,E,E,high,False
15671491,F,F,high,False
MW5112930,"A,C",C,high,False
3004977335-2022-51417,"B,G",B,high,False
15804417,"B,C",B,high,False
15804445,"B,G",B,high,False
15804485,"B,E",B,high,False
15824763,"B,E",B,medium,False
3004977335-2022-50647,"F,G",F,high,False
3004977335-2022-52830,G,G,high,False
3004977335-2022-51064,G,G,high,False
3004977335-2022-51401,"D,G",D,high,False
3004977335-2022-51471,E,E,high,False
3004977335-2022-52989,"B,D,G",B,high,True
3004977335-2022-53446,"F,G",F,high,False
MW5113743,"B,G",B,high,True
3004977335-2022-54213,"E,U",E,medium,False
3004977335-2022-54342,"B,C,D",B,high,True
3004977335-2022-53989,E,E,high,False
3004977335-2022-54646,"D,G",D,high,False
3009529630-2022-00002,"B,C,D,G",B,high,True
MW5114305,E,E,medium,False
3004977335-2023-59880,"E,G",E,medium,False
3004977335-2023-59202,U,U,high,False
3004977335-2023-59264,"F,G",F,high,False
3015777306-2023-00001,"D,G",D,high,False
MW5114854,"D,G",D,medium,False
3015777306-2023-00002,E,E,high,False
9613445-2023-00001,"D,G",D,high,False
MW5115743,"B,E",B,high,False
3004977335-2023-66166,"B,G",B,high,False
3004977335-2023-66274,"F,G",F,high,False
3004977335-2023-64740,"F,G",F,high,False
9612283-2023-00001,"D,G",D,high,False
3004977335-2023-67768,"B,C",B,high,True
3009529630-2023-00002,"F,G",F,high,False
3004977335-2023-68470,"B,G",B,high,True
3004977335-2023-69252,"F,G",F,high,False
MW5116480,"D,G",D,high,False
3015777306-2023-00004,"D,E,G",D,high,False
2126677-2023-00002,"D,G",D,high,False
3004977335-2023-71150,"F,G",F,high,False
3015777306-2023-00005,F,F,high,False
3015777306-2023-00006,F,F,high,False
3015777306-2023-00008,"F,G",F,high,False
3015777306-2023-00007,"F,G",F,high,False
3015777306-2023-00009,F,F,high,False
3015777306-2023-00010,F,F,high,False
3004977335-2023-70806,"B,C,G",B,high,False
3009529630-2023-00003,F,F,high,False
16938533,"A,G",A,high,False
9612283-2023-00002,"D,G",D,high,False
3004977335-2023-71231,"B,G",B,high,True
3015777306-2023-00011,"B,C",B,high,True
3015777306-2023-00012,"B,C",B,high,True
3015777306-2023-00013,F,F,high,False
9612283-2023-00003,"D,G",D,high,False
3015777306-2023-00014,F,F,high,False
3009529630-2023-00005,F,F,high,False
3015777306-2023-00017,F,F,high,False
3015777306-2023-00016,F,F,high,False
3004977335-2023-73035,"D,G",D,high,False
3004977335-2023-72936,"B,G",B,medium,False
9613445-2023-00003,"D,G",D,high,False
3004977335-2023-00045,"F,G",F,high,False
3004977335-2023-00051,"D,G",D,high,False
MW5119090,"C,B",C,high,False
2126677-2023-00004,"F,G",F,high,False
3004977335-2023-00054,"F,G",F,high,False
3015777306-2023-00019,F,F,high,False
3004977335-2023-00057,"A,G",A,high,False
3004977335-2023-00061,"D,G",D,high,False
3009529630-2023-00006,"G,D",D,high,False
17441923,"E,F",E,high,False
2126677-2023-00005,"F,G",F,high,False
17457798,"D,G",D,high,False
3015777306-2023-00020,"F,D",F,high,False
3004977335-2023-00082,"F,G",F,high,False
3004977335-2023-00083,"D,G",D,high,False
3004977335-2023-00084,"A,C",C,high,False
3004977335-2023-00085,"F,G,D",F,high,False
3004977335-2023-00086,"D,G",D,high,False
MW5141176,U,U,high,False
MW5144001,U,U,high,False
3009529630-2023-00007,"F,G",F,high,False
3004977335-2023-00091,"E,G",E,high,False
3004977335-2023-00102,"F,G",F,high,False
3004977335-2023-00106,"E,G",E,medium,False
3004977335-2023-00110,"D,G",D,high,False
3008581796-2023-00001,"B,C",B,high,True
MW5146306,E,E,high,False
3009529630-2023-00008,"B,D",B,high,True
3009529630-2023-00009,"B,D",B,high,True
3009529630-2023-00010,"B,D",B,high,True
3009529630-2023-00012,"A,B,D",B,high,True
3009529630-2023-00013,"A,B,D",B,high,True
3009529630-2023-00011,"B,D",B,high,True
3009529630-2023-00014,"B,D",B,high,True
3009529630-2023-00015,"A,B,D",B,high,True
9612283-2023-00006,"D,G",D,high,False
MW5147036,"B,C,G",B,high,True
3009529630-2023-00021,"A,B,D",B,high,True
3009529630-2023-00020,"B,D",B,high,True
3009529630-2023-00017,"B,D",B,high,True
3009529630-2023-00018,"A,B,D",B,high,True
3009529630-2023-00019,"B,D",B,high,True
3009529630-2023-00022,"B,D",B,high,True
9613445-2023-00005,"D,G",D,high,False
3004977335-2023-00142,"F,G",F,high,False
3004977335-2023-00144,"D,G",D,high,False
3015777306-2023-00023,"C,D",C,high,False
3004977335-2024-00001,"D,G",D,medium,False
3004977335-2024-00002,"F,G",F,high,False
3008581796-2024-00001,"B,C",B,high,True
3004977335-2024-00014,"B,G",B,high,False
3004977335-2024-00015,"E,B,G",E,high,False
3004977335-2024-00018,"F,G",F,high,False
3004977335-2024-00019,"D,G",D,medium,False
3004977335-2024-00020,"D,G",D,medium,False
9612283-2024-00001,"D,G",D,high,False
3004977335-2024-00022,"F,G",F,high,False
MW5151942,"F,G",F,high,False
MW5151995,"F,G",F,high,False
3004977335-2024-00026,"F,G",F,high,False
3009529630-2024-00002,F,F,high,False
3009529630-2024-00004,"D,G",D,high,False
2126677-2024-00003,"D,G",D,high,False
3009529630-2024-00005,F,F,high,False
9613445-2024-00002,"D,G",D,high,False
3004977335-2024-00041,"B,G",B,medium,False
3015777306-2024-00002,F,F,high,False
3003768277-2024-02309,F,F,high,False
3009529630-2024-00006,"D,G",D,high,False
3015777306-2024-00003,U,U,high,False
3004977335-2024-00056,"D,E",D,high,False
3004977335-2024-00057,F,F,high,False
3004977335-2024-00058,"F,G",F,high,False
3015777306-2024-00004,"F,G",F,high,False
3004977335-2024-00060,"D,G",D,high,False
3004977335-2024-00066,"D,F,G",D,high,False
3004977335-2024-00075,"D,G",D,high,False
MW5157232,"F,G",F,high,False
3004977335-2024-00086,"B,C",B,high,True
3004977335-2024-00091,"D,G",D,high,False
3015777306-2024-00007,F,F,high,False
3015777306-2024-00008,"F,G",F,high,False
2020563-2024-00007,D,D,medium,False
3015777306-2024-00010,"E,G",E,medium,False
9613445-2024-00005,"D,G",D,high,False
20722790,F,F,high,False
MW5164068,G,G,high,False
3009529630-2025-000001,"G,D",D,high,False
21420441,G,G,high,False
3015777306-2025-000002,"D,G",D,high,False
3009529630-2025-000004,D,D,high,False
3015777306-2025-000003,"F,G",F,high,False
3010642685-2025-00001,"F,G",F,high,False
3015777306-2025-000004,"F,G",F,high,False
3015777306-2025-000005,"F,G",F,high,False
3009529630-2025-000007,"B,C,G",B,high,True
MW5170063,"B,C,G",B,high,True
MW5170206,"B,C,D",B,high,True
MW5170207,"B,C,D",B,high,True
3009529630-2025-000010,F,F,high,False
9612283-2025-00002,"D,G",D,high,False
MW5170935,E,E,high,False
2126677-2025-00002,"D,G",D,high,False
2020563-2025-00006,"D,G",D,high,False
MW5172051,F,F,high,False
3015777306-2025-000007,"B,C,G",B,high,True
9613445-2025-00006,"D,G",D,high,False
3015777306-2025-000008,"D,G",D,high,False
22929691,"E,G",E,high,False
2020563-2025-00008,"D,G",D,high,False
3015777306-2025-000009,"D,G",D,high,False
2126677-2025-00004,"D,G",D,high,False
MW5177446,E,E,high,False
MW5177492,"E,B",E,high,False
9613445-2025-00007,"D,G",D,high,False
3015777306-2025-000010,"E,D",E,high,False
MW5178900,F,F,high,False
3009529630-2025-000012,"D,G",D,high,False
3003768277-2025-015636,"F,G",F,high,False
3015777306-2025-000011,"F,G",F,high,False
3015777306-2025-000012,"F,G",F,high,False
3015777306-2025-000013,"F,G",F,high,False
9613445-2026-00001,"F,G",F,high,False
3015777306-2026-100001,"F,G",F,high,False
3004977335-2026-00034,"B,G",B,high,True
2126677-2026-00005,U,U,high,False
3009529630-2026-100020,D,D,medium,False
MW5185960,"B,D",B,high,True
MW5186334,"B,G",B,high,True
9613445-2026-00004,"F,G",F,high,False
3004977335-2020-11469,"B,G",B,high,True
1525965-2020-00001,"F,G",F,high,False
1525965-2020-00002,"F,G",F,high,False
3004977335-2020-13847,"E,G",E,high,False
3004977335-2020-13936,"F,G",F,high,False
3004977335-2020-14894,"F,G",F,high,False
3004977335-2020-15886,"D,G",D,high,False
3004977335-2020-17733,"F,G",F,high,False
3004977335-2020-17712,"B,G",B,high,True
3004977335-2020-19182,"B,G",B,high,True
3004977335-2020-18776,"D,G",D,high,False
3003768277-2020-01002,"D,G",D,high,False
3004977335-2020-21936,"E,G",E,high,False
1525965-2020-01000,"F,G",F,high,False
2020563-2020-00002,"D,G",D,high,False
3004977335-2020-25864,"D,G",D,high,False
3004977335-2020-23836,"D,G",D,medium,False
3004977335-2020-24195,"B,G",B,high,True
MW5094223,G,G,high,False
3004977335-2020-25978,"F,G",F,high,False
1000515253-2022-00003,C,C,high,False
3003630693-2022-00001,"B,C",B,medium,True
1000515253-2024-00001,"B,G",B,high,True
3003630693-2024-00001,"B,G",B,high,True
1000515253-2024-00004,"B,D,G",B,high,True
3003630693-2024-00002,"B,D,G",B,high,True
3003630693-2025-00001,"B,C,G",B,high,True
10860124,"E,F",E,high,False
9613445-2021-00001,"F,G",F,high,False
9613445-2021-00005,"F,G",F,high,False
3003768251-2021-10014,F,F,medium,False
2126677-2022-00006,"F,G,D",F,high,False
9613445-2022-00001,D,D,high,False
2126677-2022-00009,D,D,high,False
9613445-2022-00004,F,F,high,False
9613445-2022-00005,F,F,high,False
MW5112535,C,C,high,False
3003768251-2022-00009,D,D,medium,False
3003768251-2022-00011,F,F,medium,False
3003768251-2023-00003,F,F,medium,False
3003768251-2023-00008,"F,E",F,high,False
2126677-2023-00001,"F,D,G",F,high,False
3003768251-2023-00022,F,F,high,False
3003768251-2023-00047,F,F,high,False
3003768251-2023-00053,"F,D",F,high,False
3003768251-2023-00054,"D,F",D,medium,False
3003768251-2023-00055,"F,D",F,high,False
3003768251-2023-00057,"D,F",D,medium,False
3003768251-2023-00059,D,D,high,False
3003768251-2023-00060,"D,G",D,high,False
9613445-2023-00006,F,F,high,False
3003768251-2024-00001,"D,F",D,medium,False
3003768251-2024-00003,"F,D",F,medium,False
3003768251-2024-00005,"D,F",D,medium,False
3003768251-2024-00006,"D,F",D,medium,False
MW5152155,"F,B",F,high,False
2126677-2024-00002,"D,G",D,high,False
3003768251-2024-00011,"F,D",F,high,False
3003768251-2024-00015,"F,D",F,medium,False
3003768251-2024-00018,"F,D",F,high,False
3003768251-2024-00019,"F,D",F,medium,False
3003768251-2024-00021,"D,F",D,medium,False
3003768251-2024-00022,"D,F",D,high,False
3003768251-2024-00024,"F,D",F,medium,False
3003768251-2024-00025,"F,D",F,high,False
3003768251-2024-00028,D,D,medium,False
3003768251-2024-00030,"D,F",D,medium,False
9613445-2024-00003,F,F,high,False
MW5156477,"D,E,G",D,high,False
9613445-2024-00004,F,F,high,False
3003768251-2024-00071,"F,D",F,high,False
3003768251-2025-000015,D,D,high,False
3003768251-2025-000031,"F,D",F,high,False
3003768251-2025-000042,"D,G",D,high,False
3003768251-2025-000054,D,D,high,False
3003768251-2025-000056,F,F,high,False
3003768251-2025-000058,F,F,high,False
9613445-2025-00004,"F,G",F,high,False
2126677-2025-00001,"D,G",D,high,False
9613445-2025-00005,"F,D",F,high,False
2126677-2025-00003,"D,G",D,high,False
3003768251-2025-000119,"F,D",F,high,False
3003768251-2025-000123,"F,D",F,high,False
3003768251-2025-000128,"F,D",F,high,False
3003768251-2025-000141,D,D,high,False
2126677-2025-00005,"F,G",F,high,False
24116596,"A,D",A,medium,False
24532960,F,F,high,False
9613445-2026-00003,G,G,high,False
MW5186974,"F,G",F,high,False
3003768251-2026-100007,U,U,high,False
9613445-2020-00001,"D,G",D,high,False
9676477,"D,G",D,high,False
3015777306-2020-00001,F,F,high,False
3015777306-2020-00003,F,F,high,False
3015777306-2020-00004,"F,D",F,high,False
3015777306-2020-00005,F,F,high,False
3015777306-2020-00006,F,F,high,False
3015777306-2020-00008,"F,D",F,high,False
3015777306-2020-00012,"B,D",B,high,False
3015777306-2020-00011,"F,D",F,high,False
3015777306-2020-00013,"D,F,G",D,high,False
1423253-2020-00002,"D,G",D,high,False
3015777306-2020-00015,"B,F",B,high,False
MW5097065,"F,G",F,high,False
3015777306-2020-00016,"B,D",B,high,False
3015777306-2020-00018,"D,E",E,medium,False
10860149,"F,E",F,high,False
3015777306-2020-00021,"D,E",D,high,False
3015777306-2020-00020,"B,F",B,high,False
3015777306-2021-00001,D,D,high,False
1423253-2021-00001,"D,G",D,high,False
3015777306-2021-10004,"D,E",D,high,False
3015777306-2021-10005,F,F,high,False
3015777306-2021-10006,"D,F",F,high,False
12518607,"A,F",A,high,False
9613299-2022-00001,"D,G",D,high,False
1423253-2022-00001,"D,G",D,high,False
9613299-2022-00002,"D,G",D,medium,False
3015777306-2022-00005,"D,F",D,high,False
1423253-2022-00002,"D,G",D,high,False
2126677-2022-00013,"A,B,G",B,high,False
3003768277-2022-00546,F,F,medium,False
9613299-2022-00003,"D,G",D,high,False
3003768277-2022-00650,D,D,high,False
3015777306-2022-00007,"B,F",B,high,True
3015777306-2022-00008,F,F,high,False
3015777306-2022-00009,"B,E",B,high,True
3015777306-2022-00010,"D,F",D,high,False
16111919,F,F,high,False
9613299-2023-00001,F,F,high,False
9613299-2023-00002,F,F,high,False
9613299-2023-00003,F,F,high,False
9613299-2023-00005,F,F,high,False
9613299-2023-00006,F,F,high,False
9613299-2023-00008,F,F,high,False
9613299-2023-00007,F,F,high,False
9613299-2023-00004,F,F,high,False
3015777306-2023-00003,"D,G",D,high,False
16701063,F,F,high,False
MW5117720,"A,F",F,high,False
3015777306-2023-00015,"D,G",D,high,False
1423253-2023-00001,"D,G",D,high,False
3015777306-2023-00018,F,F,medium,False
9613299-2023-00009,"F,G",F,high,False
3015777306-2023-00021,F,F,medium,False
3015777306-2023-00022,"F,D",F,high,False
9613299-2023-00010,"D,G",D,high,False
9613299-2023-00011,"D,G",D,high,False
18695454,F,F,high,False
1423253-2024-00001,"D,G",D,high,False
3015777306-2024-00001,"E,G",E,high,False
1423253-2024-00002,G,G,high,False
9613299-2024-00001,"D,G",D,high,False
9613445-2024-00001,"D,G",D,high,False
1423253-2024-00003,G,G,high,False
1423253-2024-00004,"D,G",D,high,False
1423253-2024-00005,"D,G",D,high,False
1423253-2024-00006,"D,G",D,high,False
3015777306-2024-00005,"F,G",F,high,False
3015777306-2024-00006,"F,G",F,high,False
1423253-2024-00007,"D,G",D,high,False
19872217,F,F,high,False
3011015597-2024-00001,F,F,high,False
9613299-2024-00002,"D,G",D,high,False
3015777306-2024-00009,"D,G",D,high,False
20460864,F,F,high,False
9613299-2024-00003,"F,G",F,high,False
9613299-2024-00004,"D,G",D,high,False
9613299-2024-00005,"F,G",F,high,False
9613299-2025-00001,F,F,high,False
9613445-2025-00001,F,F,high,False
9613299-2025-00002,F,F,high,False
9613299-2025-00003,F,F,high,False
9613299-2025-00004,F,F,high,False
9613299-2025-00005,F,F,high,False
9613299-2025-00006,F,F,high,False
9613299-2025-00007,F,F,high,False
9613299-2025-00008,F,F,high,False
9613299-2025-00009,F,F,high,False
9613299-2025-00010,F,F,high,False
9613299-2025-00011,F,F,high,False
9613299-2025-00012,F,F,high,False
9613299-2025-00013,F,F,high,False
3015777306-2025-000001,"D,G",D,high,False
9613299-2025-00014,F,F,high,False
9613299-2025-00015,F,F,high,False
9613299-2025-00016,F,F,high,False
9613299-2025-00017,F,F,high,False
9613299-2025-00018,F,F,medium,False
9613299-2025-00019,F,F,high,False
MW5166027,E,E,medium,False
9613299-2025-00020,G,G,high,False
9613445-2025-00003,F,F,high,False
9613299-2025-00021,F,F,high,False
9613299-2025-00022,F,F,high,False
9613299-2025-00024,F,F,high,False
9613299-2025-00025,F,F,high,False
3015777306-2025-000006,F,F,high,False
MW5172821,"B,G",B,high,True
3014809646-2025-00001,F,F,high,False
9613299-2025-00027,"D,G",D,high,False
3015777306-2026-100000,"F,G",F,high,False
9613299-2026-00001,G,G,high,False
2126677-2020-00001,"B,D,G",B,high,True
9652622,"F,E",F,high,False
1525965-2020-00003,"F,G",F,high,False
1423253-2020-00001,"D,G",D,high,False
1034973-2020-00001,"D,G",D,high,False
3005180920-2020-00325,G,G,medium,False
3005180920-2020-00731,G,G,medium,False
3005180920-2021-00018,G,G,medium,False
3005180920-2021-00103,"F,G",F,high,False
3005180920-2021-00181,G,G,medium,False
3005180920-2021-00216,G,G,medium,False
3005180920-2021-00528,"F,G",F,medium,False
3005180920-2021-00759,G,G,high,False
3005180920-2021-00815,G,G,medium,False
3005180920-2022-00219,G,G,medium,False
3005180920-2022-00398,G,G,medium,False
3005180920-2022-00527,"F,G",F,high,False
3005180920-2022-00573,G,G,medium,False
3005180920-2022-00749,U,U,high,False
3005180920-2022-00822,G,G,medium,False
3005180920-2022-00842,U,U,high,False
3005180920-2022-00947,G,G,medium,False
3005180920-2023-00172,G,G,medium,False
3005180920-2023-00237,G,G,medium,False
3005180920-2023-00241,"D,G",D,high,False
3005180920-2023-00781,G,G,medium,False
3005180920-2023-00811,"D,G",D,medium,False
3005180920-2024-01028,G,G,high,False
3005180920-2024-01128,G,G,medium,False
3005180920-2024-01130,G,G,medium,False
3005180920-2024-01164,G,G,medium,False
3005180920-2025-00100,G,G,high,False
3005180920-2025-00052,G,G,high,False
3005180920-2025-00124,"F,G",F,medium,False
3005180920-2025-00205,G,G,medium,False
3005180920-2025-00269,G,G,high,False
3005180920-2025-00381,U,U,high,False
3005180920-2025-00392,G,G,high,False
3005180920-2025-00445,G,G,high,False
3005180920-2025-00421,U,U,high,False
3005180920-2025-00439,G,G,medium,False
3005180920-2025-00457,"F,G",F,medium,False
3005180920-2025-00663,"F,G",F,high,False
3005180920-2025-00726,G,G,medium,False
3005180920-2025-00804,G,G,medium,False
3005180920-2025-00801,G,G,medium,False
3005180920-2025-00815,G,G,high,False
3005180920-2025-00844,U,U,high,False
3005180920-2025-00795,G,G,medium,False
3005180920-2025-00876,G,G,high,False
3005180920-2025-00902,G,G,medium,False
3005180920-2025-00903,G,G,medium,False
3005180920-2025-01020,U,U,high,False
3005180920-2026-00029,G,G,medium,False
3005180920-2026-00048,U,U,high,False
3005180920-2026-00100,G,G,medium,False
3005180920-2026-00199,U,U,high,False
3005180920-2026-00181,G,G,medium,False
MW5186804,U,U,high,False
3005180920-2026-00346,U,U,high,False
3005180920-2026-00356,U,U,high,False
2183926-2020-00019,"B,C",B,high,True
2183926-2020-00020,"D,E",D,medium,False
2183926-2020-00022,"E,C",E,high,False
2183926-2020-00021,"C,D",C,high,False
2183926-2020-00025,"B,C",B,high,True
2183926-2020-00026,"B,C,G",B,high,True
2183926-2020-00031,"B,C",B,high,True
2183926-2020-00028,"C,D",C,high,False
2183926-2020-00029,"C,E",C,high,False
2183926-2020-00030,"C,D",C,high,False
8022257-2020-00001,"B,C",B,high,True
2183926-2020-00035,"E,C",E,high,False
2183926-2020-00036,"C,E",E,high,False
2183926-2020-00033,"B,G",B,high,True
3004977335-2020-44432,U,U,high,False
10559572,"C,E",C,high,False
2183926-2020-00037,"C,D",C,high,False
2183926-2020-00038,"A,D",A,high,False
2183926-2020-00039,"C,E",E,high,False
8022257-2021-00001,"B,C",B,high,True
2183926-2021-00023,"B,G",B,medium,True
3004977335-2021-94506,E,E,medium,False
3004526608-2021-00001,"C,G",C,high,False
2183926-2021-00032,"B,C",B,high,True
2183926-2022-00001,"B,C",B,high,True
3004972322-2022-00001,"B,C",B,high,False
3004972322-2022-00002,"D,E",E,medium,False
2183926-2022-00002,"B,C",B,medium,True
2182926-2022-00003,"B,C",B,high,True
2183926-2022-00004,"B,E",B,medium,True
2183926-2022-00005,"B,C",B,high,True
2183926-2022-00006,"B,D",B,medium,True
2183926-2022-00008,"E,C",E,high,False
2183926-2022-00009,"D,E",E,medium,False
2183926-2022-00010,D,D,medium,False
3014491269-2022-00001,"B,D,G",B,high,True
3014491269-2022-00002,"B,D,G",B,high,True
2183926-2022-00011,"B,D",B,high,True
3004972322-2022-00004,"E,B",E,high,False
3004972322-2022-00003,"E,B",E,medium,False
3004972322-2022-00005,"B,C",B,high,False
2183926-2022-00012,D,D,high,False
3014491269-2022-00003,"F,G",F,high,False
MW5114646,G,G,high,False
MW5114679,G,G,high,False
2183926-2023-00001,"B,D",B,medium,True
1000513161-2023-00004,C,C,high,False
3001722928-2023-00011,C,C,high,False
3004526608-2023-00001,"E,G",E,high,False
3004526608-2023-00002,"E,G",E,high,False
3004972322-2023-00001,B,B,high,False
2183926-2023-00002,"B,E",B,medium,False
3004972322-2023-00002,B,B,high,True
17974935,"B,C",B,high,True
2183926-2023-00003,U,U,high,False
8022257-2023-00001,"B,C",B,high,True
2183926-2023-00004,U,U,high,False
3004972322-2023-00003,"B,C",B,high,True
8022257-2024-00001,E,E,high,False
3017167291-2024-00002,"B,G",B,high,True
3017167291-2024-00001,"B,G",B,high,True
9616389-2024-00001,"B,C,G",B,high,True
2249582-2024-00001,"B,C,G",B,high,True
MW5158904,U,U,high,False
3003768277-2024-06027,"E,G",E,high,False
2183926-2024-00014,"B,C",B,high,True
3004526608-2024-00001,"D,G",D,high,False
2183926-2024-00026,"B,C",B,high,True
1000432246-2024-00024,B,B,high,True
1000432246-2024-00025,B,B,medium,True
1000432246-2024-00026,B,B,high,True
1000432246-2024-00027,B,B,high,True
1000432246-2024-00029,B,B,high,True
1000432246-2024-00028,B,B,high,True
1000432246-2024-00030,B,B,high,True
1000432246-2024-00031,B,B,high,True
1000432246-2024-00032,"B,C",B,high,True
1000432246-2024-00033,"B,C",B,high,True
1000432246-2024-00034,B,B,high,True
1000432246-2024-00035,B,B,high,True
1000432246-2024-00036,B,B,high,True
1000432246-2024-00037,"B,C",B,high,True
1000432246-2024-00038,B,B,high,True
2183926-2025-00002,D,D,medium,True
2183926-2025-00001,D,D,medium,True
2183926-2025-00003,U,U,high,False
2183926-2025-00004,U,U,high,False
2183926-2025-00006,U,U,high,False
2183926-2025-00008,D,D,medium,True
2183926-2025-00007,U,U,high,False
2183926-2025-00005,D,D,medium,False
2183926-2025-00009,D,D,medium,True
2183926-2025-00010,D,D,medium,False
2183926-2025-00011,D,D,medium,True
2183926-2025-00012,"B,C",B,high,True
3004972322-2025-00001,"B,C",B,high,True
3004972322-2025-00002,"B,C",B,high,True
MW5165448,F,F,high,False
2183926-2025-00013,"B,C",B,high,True
2183926-2025-00014,U,U,high,False
2183926-2025-00015,"B,C",B,high,False
2249582-2025-00001,"E,G",E,high,False
9616389-2025-00001,"E,G",E,high,False
2183926-2025-00016,"B,C",B,high,True
3004972322-2025-00003,"B,C",B,high,True
22529527,D,D,medium,False
MW5178097,G,G,high,False
MW5179300,"C,D",C,medium,False
3006621332-2026-00002,B,B,high,True
3006621332-2026-00001,B,B,high,True
3004972322-2026-00001,"B,C",B,high,True
MW5186069,F,F,high,False
2183926-2019-00028,"B,C,G",B,high,False
3002808157-2020-02409,"E,C",E,high,False
2183926-2020-00001,"B,C,G",B,high,True
3002808157-2020-14363,"E,C",E,high,False
2183926-2020-00002,"B,C",B,high,True
2183926-2020-00003,"B,C",B,high,True
2183926-2020-00004,"A,G",A,high,False
3002808157-2020-18118,E,E,high,False
MW5093112,U,U,high,False
2183926-2020-00006,"B,C",B,medium,True
2183926-2020-00007,"A,D",A,high,False
2183926-2020-00009,"C,D",C,high,False
2183926-2020-00010,"A,D,G",A,high,False
2183926-2020-00011,"D,C",D,high,False
8043836-2020-00001,E,E,high,False
2183926-2020-00012,U,U,high,False
2183926-2020-00013,B,B,medium,True
2183926-2020-00014,"A,C",A,high,False
2183926-2020-00015,"A,D",A,high,False
2183926-2020-00016,"B,G",B,high,True
2183553-2020-00007,"F,G",F,high,False
3002808157-2020-27964,"F,G",F,high,False
MW5094605,"F,G",F,high,False
MW5094680,"F,G",F,high,False
MW5094776,"F,G",F,high,False
3002808157-2020-36316,"D,G",D,high,False
3003768277-2020-01004,U,U,high,False
3002808157-2020-35085,G,G,high,False
10275977,"F,E",F,high,False
2183553-2020-00008,"D,G",D,high,False
3003768277-2020-01005,E,E,high,False
3002808157-2020-38264,"D,A",D,high,False
2183553-2020-00009,"F,G",F,high,False
2183553-2020-00010,"F,G",F,high,False
2183553-2020-00011,"F,G",F,high,False
2183553-2020-00012,G,G,high,False
2183553-2020-00013,"D,G",D,high,False
3002808157-2020-38130,"D,E",D,medium,False
9613445-2020-00004,"D,G",D,high,False
MW5096065,G,G,high,False
MW5096138,"F,G",F,high,False
3002808157-2020-40244,"D,G",D,high,False
MW5096293,"F,G",F,high,False
3003768277-2020-01006,U,U,high,False
MW5096584,"F,G",F,high,False
2183553-2020-00014,F,F,high,False
2183553-2020-00015,G,G,high,False
MW5096789,"F,G",F,high,False
3002808157-2020-47630,"G,E",E,high,False
3003768277-2020-01007,"D,G",D,high,False
MW5097233,U,U,high,False
2020563-2020-00006,"F,G",F,high,False
3002808157-2020-49136,"B,D",B,high,True
3002808157-2020-51590,"D,G",D,high,False
2183553-2020-00016,"G,D",D,high,False
3002808157-2020-55327,G,G,medium,False
2183553-2020-00017,"F,G,D",F,high,False
3003768277-2020-01033,"F,G",F,high,False
9613445-2020-00006,"D,G",D,high,False
3002808157-2020-24512,"F,G",F,high,False
3002808157-2020-58247,"F,G",F,high,False
3003768277-2020-01037,G,G,high,False
3004754211-2020-59477,"F,G",F,high,False
3003768277-2020-01039,U,U,high,False
3002808157-2020-58550,"F,G",F,high,False
3004754211-2020-59329,"F,G",F,high,False
MW5098519,"F,G",F,high,False
MW5098599,"F,G",F,high,False
2183553-2021-00001,"D,G",D,high,False
3003768277-2021-00004,U,U,high,False
3003768277-2021-00005,"D,G",D,high,False
3010949642-2021-00001,G,G,medium,False
MW5098943,"F,G",F,high,False
2183553-2021-00002,"D,G,F",D,high,False
3003768277-2021-00012,G,G,high,False
11300571,"F,G",F,high,False
MW5099524,"F,G",F,high,False
3003768277-2021-00022,U,U,high,False
2183553-2021-00003,"F,G",F,high,False
2183553-2021-00004,G,G,high,False
11569689,G,G,medium,False
MW5100274,"D,G",D,high,False
3010949642-2021-00002,"F,G",F,high,False
2183553-2021-00005,"D,G",D,high,False
MW5101066,"D,G",D,medium,False
3002808157-2021-77607,"D,G",D,high,False
11782895,E,E,medium,False
3010949642-2021-00004,"D,G",D,high,False
2183553-2021-00006,"D,G",D,high,False
3010949642-2021-00005,G,G,medium,False
3010949642-2021-00006,"F,G",F,high,False
3003768277-2021-10018,"D,G",D,high,False
3003768277-2021-10020,G,G,medium,False
12091902,"D,G",D,medium,False
2020563-2021-00002,"D,G",D,high,False
2183553-2021-00007,"D,F,G",D,high,False
12173314,"E,G",E,high,False
12224411,"F,G",F,high,False
3004754211-2021-88950,"F,G",F,medium,False
2183553-2021-00008,"G,D",D,high,False
3003768277-2021-10039,"F,G",F,high,False
3002808157-2021-93523,G,G,high,False
3004754211-2021-94676,"F,G",F,high,False
3003768277-2021-10156,G,G,high,False
MW5104443,G,G,high,False
3004754211-2021-00169,G,G,high,False
